Model,Dropout,Hidden Layers,Neurons per Layer,Activation,Learning Rate,Batch Size,Regularizer,Optimizer,Loss Function,R2,RMSE,Train Loss,Val Loss,RMSE Step 1,RMSE Step 2,RMSE Step 3,RMSE Step 4,RMSE Step 5,RMSE Step 6
298,0.2,2,64,tanh,0.001,2048,<keras.src.regularizers.L2 object at 0x742f8f4ffbe0>,SGD,mean_squared_error,0.9468994140625,0.23238903903618782,0.1299877017736435,0.10422249138355255,0.1860644619175998,0.2010426302969258,0.21974200960278997,0.23905250373992487,0.25865683800109496,0.2768905417727405
299,0.2,2,64,tanh,0.001,2048,<keras.src.regularizers.L1L2 object at 0x742f8f4ffc10>,Adam,mean_squared_error,0.9568851590156555,0.20940114292224082,0.11330419778823853,0.11112335324287415,0.1475968729183488,0.16782966091992296,0.19269283575710575,0.21770312630535263,0.24245283656576322,0.26427238647822954
300,0.2,2,64,tanh,0.001,2048,<keras.src.regularizers.L1L2 object at 0x742f8f4ffc10>,SGD,mean_squared_error,0.8886699080467224,0.336490342543636,0.3575601279735565,0.538982093334198,0.3176763577764699,0.3187399233232942,0.3233754309464164,0.3432555647331363,0.3500199735825288,0.36323521791023944
301,0.2,2,64,tanh,0.01,2048,<keras.src.regularizers.L2 object at 0x742f8f4ffbe0>,Adam,mean_squared_error,0.9487752914428711,0.22824728934432262,0.07344432175159454,0.13528653979301453,0.1733600575168383,0.18957571117903316,0.21302033393670008,0.23696620448762618,0.25896161641134186,0.27928258236187836
302,0.2,2,64,tanh,0.01,2048,<keras.src.regularizers.L2 object at 0x742f8f4ffbe0>,SGD,mean_squared_error,0.9287922978401184,0.26910979726935774,0.15658023953437805,0.09454303234815598,0.22967086167552406,0.24233691658876202,0.25857195100115093,0.27542713123329954,0.29210041949005433,0.308242068862351
303,0.2,2,64,tanh,0.01,2048,<keras.src.regularizers.L1L2 object at 0x742f8f4ffc10>,Adam,mean_squared_error,0.9483148455619812,0.2292709257919169,0.20915764570236206,0.3532424867153168,0.16528095192532705,0.188918093207001,0.21582804387188875,0.24011395120396234,0.2619109261537271,0.28205410468900116
304,0.2,2,64,tanh,0.01,2048,<keras.src.regularizers.L1L2 object at 0x742f8f4ffc10>,SGD,mean_squared_error,0.8072940707206726,0.4427043596725149,0.2872369587421417,0.41239550709724426,0.4326749639011413,0.43599382404137693,0.44072706802939476,0.4461664877657025,0.4457068820337923,0.45464421792313287
305,0.2,2,64,elu,0.001,2048,<keras.src.regularizers.L2 object at 0x742f8f4ffbe0>,Adam,mean_squared_error,0.96066814661026,0.20000381615097423,0.047824565321207047,0.052323874086141586,0.12205312028137215,0.1496264279741829,0.1801199933562629,0.21072185182141923,0.23765994958774586,0.2634423581677977
306,0.2,2,64,elu,0.001,2048,<keras.src.regularizers.L2 object at 0x742f8f4ffbe0>,SGD,mean_squared_error,0.9661376476287842,0.18557711906895982,0.044581927359104156,0.037031445652246475,0.09746001779492387,0.13295169099063997,0.16637977590139308,0.1970900088477975,0.2248367521149243,0.24977562761592356
307,0.2,2,64,elu,0.001,2048,<keras.src.regularizers.L1L2 object at 0x742f8f4ffc10>,Adam,mean_squared_error,0.9603025913238525,0.2009310067375016,0.09757427871227264,0.07395659387111664,0.11165324643833108,0.14514348511357036,0.18656478307947258,0.21364342772529407,0.24083923184364303,0.2650695150077806
